name,address,locality,city,zipcode,rating,price
Sonair,1354 Elgar Court,United States,Pittsburgh,15240,4.0,3
Y-find,3124 Longview Pass,United States,Knoxville,37924,3.3,2
Bytecard,3 Packers Crossing,United States,Newark,19725,3.6,1
Matsoft,41438 Petterle Lane,United States,Jacksonville,32209,4.0,1
Stim,415 Oxford Parkway,United States,Indianapolis,46278,3.2,4
Treeflex,6 Iowa Park,United States,Jackson,39282,4.9,4
Home Ing,34246 Grayhawk Point,United States,Saint Louis,63136,3.1,1
Cardify,8027 Westend Avenue,United States,Honolulu,96850,4.9,3
Zamit,05 Hanover Way,United States,Dallas,75323,5.0,4
Veribet,90785 Commercial Center,United States,Allentown,18105,3.4,4
Zamit,8 Lukken Lane,United States,Aurora,80044,4.0,4
Latlux,9 Blaine Hill,United States,Dulles,20189,3.2,4
Sub-Ex,09276 Village Green Way,United States,Boston,02216,4.6,4
Transcof,47125 Monterey Center,United States,Wilmington,19810,3.5,4
Toughjoyfax,72 Declaration Way,United States,Corona,92883,4.1,4
Matsoft,0 Kennedy Street,United States,Baltimore,21290,5.0,4
It,8881 Cottonwood Avenue,United States,Greenville,29605,4.4,4
Cardify,91648 Anhalt Avenue,United States,Corona,92878,3.8,4
Overhold,28492 Longview Avenue,United States,Salinas,93907,3.1,2
Tresom,36 Hanover Street,United States,Philadelphia,19120,3.7,2
Vagram,012 Shasta Street,United States,Colorado Springs,80905,4.7,1
Konklux,061 Sutteridge Drive,United States,Lancaster,93584,4.0,2
Trippledex,81811 Dixon Parkway,United States,Portland,97229,4.4,3
Stringtough,3129 Larry Point,United States,Santa Fe,87505,3.2,3
Sub-Ex,670 Londonderry Court,United States,Dearborn,48126,4.3,2
Ventosanzap,8 Parkside Way,United States,Newton,02162,4.5,2
Temp,1403 Cascade Road,United States,Washington,20022,4.3,4
Konklab,805 Katie Drive,United States,Naples,34102,4.0,4
Y-Solowarm,3355 Nelson Drive,United States,Orlando,32830,4.8,3
Sonair,5691 Clyde Gallagher Street,United States,El Paso,79999,3.2,3
Job,601 Lunder Park,United States,Saint Augustine,32092,4.0,3
Lotstring,8917 Blue Bill Park Avenue,United States,Fresno,93773,4.2,1
Overhold,64263 Basil Court,United States,Boca Raton,33487,3.8,3
Veribet,9297 Aberg Circle,United States,Oakland,94611,4.4,4
Otcom,314 Hansons Pass,United States,Harrisburg,17121,3.3,1
Pannier,8825 Gateway Hill,United States,Independence,64054,4.9,3
Quo Lux,8119 Schurz Trail,United States,Chicago,60619,3.5,3
Toughjoyfax,760 Carey Lane,United States,Kansas City,64187,3.1,2
Flexidy,14713 Kensington Lane,United States,Atlanta,30316,4.6,4
Cardify,5 Vermont Road,United States,Paterson,07522,4.2,4
Y-Solowarm,41 Menomonie Park,United States,Nashville,37205,3.8,1
Konklab,19 Village Green Street,United States,Birmingham,35254,3.5,1
Bitchip,3447 Sloan Drive,United States,Kansas City,66160,4.7,2
Bigtax,535 Waubesa Street,United States,Providence,02912,4.4,3
Span,5673 5th Road,United States,Knoxville,37995,4.4,2
Wrapsafe,22841 Laurel Avenue,United States,Hartford,06145,4.5,1
Viva,661 Bunting Trail,United States,Des Moines,50981,3.6,2
Tresom,6 Briar Crest Point,United States,Los Angeles,90076,3.8,1
Tempsoft,7895 Park Meadow Alley,United States,Rochester,14604,3.2,1
Rank,24810 Moland Trail,United States,San Jose,95113,4.0,4
Kanlam,874 Cambridge Pass,United States,Toledo,43656,3.8,1
Asoka,7537 Beilfuss Hill,United States,Conroe,77305,4.0,3
Transcof,15042 Schmedeman Circle,United States,Oklahoma City,73135,3.9,1
Span,51 Veith Avenue,United States,Las Vegas,89193,3.5,4
Cookley,435 Badeau Street,United States,Hartford,06145,3.4,2
It,511 Menomonie Way,United States,Jamaica,11470,4.1,1
Tempsoft,472 Graceland Trail,United States,Mobile,36689,4.9,3
Span,1130 Graedel Plaza,United States,Rochester,55905,5.0,3
Span,60973 Cascade Street,United States,Detroit,48206,4.1,1
Tin,86238 Graedel Park,United States,Buffalo,14276,4.4,3
Home Ing,6263 South Alley,United States,Roanoke,24040,4.9,4
Duobam,5 Arizona Court,United States,Whittier,90610,3.3,1
Stringtough,6261 Sullivan Park,United States,Boulder,80305,3.5,1
Tampflex,95404 Sheridan Point,United States,Washington,20022,3.5,3
Span,366 Fairfield Center,United States,Aurora,80045,4.3,4
Y-Solowarm,8680 Nevada Pass,United States,Portland,97271,4.6,4
Sonair,3677 Elmside Drive,United States,Newark,19725,3.1,1
Overhold,11 Ohio Pass,United States,Arlington,76011,4.5,4
Kanlam,75874 Old Shore Center,United States,Santa Fe,87592,4.5,3
Zoolab,2791 Fallview Drive,United States,Washington,20067,4.9,4
Latlux,31535 Killdeer Circle,United States,Sacramento,95894,3.0,1
Hatity,1698 Stephen Drive,United States,Miami,33158,3.2,3
Viva,80750 Ridgeway Pass,United States,Minneapolis,55441,3.4,2
Asoka,085 Aberg Circle,United States,Columbia,29220,3.4,3
Voyatouch,00543 Texas Court,United States,Burbank,91505,4.4,1
Stringtough,6117 Artisan Alley,United States,Minneapolis,55458,4.1,1
Domainer,7 Anniversary Drive,United States,Colorado Springs,80915,4.7,2
Trippledex,70 Bashford Pass,United States,Albuquerque,87140,3.5,4
Konklux,794 Lawn Avenue,United States,Mesa,85215,4.1,1
Toughjoyfax,05676 Hoard Way,United States,Las Vegas,89115,3.7,1
Cookley,7223 Michigan Way,United States,Washington,20535,3.9,3
Asoka,705 Northridge Plaza,United States,Mobile,36641,3.8,4
Bamity,2 Carioca Parkway,United States,Fullerton,92835,4.4,3
Ventosanzap,243 Crest Line Road,United States,Washington,20409,3.6,3
Otcom,1 Declaration Center,United States,Lancaster,17622,3.6,2
Job,59 Karstens Drive,United States,Miami,33129,3.7,2
Ronstring,07 Sutherland Trail,United States,Santa Ana,92725,3.1,2
Daltfresh,890 Menomonie Circle,United States,Phoenix,85099,4.8,1
Fintone,89 Sutteridge Plaza,United States,Chesapeake,23324,3.6,1
Tampflex,2 Meadow Valley Circle,United States,Albany,12247,4.8,3
Asoka,676 Dunning Court,United States,Saint Petersburg,33710,4.4,2
Stronghold,33 Norway Maple Court,United States,High Point,27264,4.0,2
Stringtough,2 Burning Wood Lane,United States,San Francisco,94159,4.5,2
Viva,83713 Golf Course Circle,United States,Rochester,14614,4.7,3
Namfix,272 Village Green Center,United States,Buffalo,14225,3.4,1
Duobam,81 Elgar Terrace,United States,Bryan,77806,3.3,2
Stringtough,90 Florence Parkway,United States,Omaha,68105,3.3,3
Zoolab,8 Basil Center,United States,San Francisco,94121,3.9,4
It,85053 Oakridge Road,United States,Pittsburgh,15274,4.2,1
Redhold,9242 Esker Lane,United States,Jefferson City,65110,4.8,3
